DMax NO2,NO2-WEIGHT,Year,Month,Day,Flag,Site Name,Lat,Lng,Date
4.8,21,2020,8,16,0,Newark Firehouse,40.720989,-74.192892,8/16/2020
40.8,24,2020,8,19,0,Newark Firehouse,40.720989,-74.192892,8/19/2020
12.1,24,2020,8,22,0,Newark Firehouse,40.720989,-74.192892,8/22/2020
20,24,2020,8,25,0,Newark Firehouse,40.720989,-74.192892,8/25/2020
22.1,24,2020,8,28,0,Newark Firehouse,40.720989,-74.192892,8/28/2020
22.5,24,2020,9,3,0,Newark Firehouse,40.720989,-74.192892,9/3/2020
13.9,21,2020,9,6,0,Newark Firehouse,40.720989,-74.192892,9/6/2020
26.7,24,2020,9,9,0,Newark Firehouse,40.720989,-74.192892,9/9/2020
13.4,24,2020,9,12,0,Newark Firehouse,40.720989,-74.192892,9/12/2020
31.7,24,2020,9,15,0,Newark Firehouse,40.720989,-74.192892,9/15/2020
15.1,24,2020,9,18,0,Newark Firehouse,40.720989,-74.192892,9/18/2020
31.7,24,2020,9,21,0,Newark Firehouse,40.720989,-74.192892,9/21/2020
44.3,24,2020,9,24,0,Newark Firehouse,40.720989,-74.192892,9/24/2020
17.9,21,2020,9,27,0,Newark Firehouse,40.720989,-74.192892,9/27/2020
17,24,2020,9,30,0,Newark Firehouse,40.720989,-74.192892,9/30/2020
27.2,24,2020,10,3,0,Newark Firehouse,40.720989,-74.192892,10/3/2020
31.4,24,2020,10,6,0,Newark Firehouse,40.720989,-74.192892,10/6/2020
35.5,24,2020,10,9,0,Newark Firehouse,40.720989,-74.192892,10/9/2020
13.2,24,2020,10,12,0,Newark Firehouse,40.720989,-74.192892,10/12/2020
35.3,24,2020,10,15,0,Newark Firehouse,40.720989,-74.192892,10/15/2020
32.2,21,2020,10,18,0,Newark Firehouse,40.720989,-74.192892,10/18/2020
33.5,24,2020,10,21,0,Newark Firehouse,40.720989,-74.192892,10/21/2020
16.1,24,2020,10,24,0,Newark Firehouse,40.720989,-74.192892,10/24/2020
23.2,24,2020,10,27,0,Newark Firehouse,40.720989,-74.192892,10/27/2020
22.3,24,2020,10,30,0,Newark Firehouse,40.720989,-74.192892,10/30/2020
32.2,24,2020,11,2,0,Newark Firehouse,40.720989,-74.192892,11/2/2020
48.3,24,2020,11,5,0,Newark Firehouse,40.720989,-74.192892,11/5/2020
